Name/Type|Responsible Department|Permit/Fee Name and Description|Statutory Authority |Fees As of Dec. 31, 2012|"Fees As of
June 30, 2011"|Fees As of April 1, 2012|Sec. 1-13 Increase Applies?|Sec. 1-14 Admin Fee Applies?|Increase Date|"(6)
Dept. Assignment: CATEGORY 
1 Permit
2 License 
3 Inspection
4 Plan Review
5 Support/Service
6 Other"|"(7)
Dept. Assignment
CRITERIA
1 Escalator/Ordinance
2 Contract 
3 State Law
4 Mkt. Driven
5 Other Escalator
6 Other"|"DECIMAL NOTES 
for PWE"|Fee As Jan 1, 2013|CPI increase 1.024214%in format #.####|Variance|% change|1.024214|PWE SEQUENCE Request|NOTE|Sequence Key|Change
Building Code - Structural|PWE|Heliport / Helistop Permit|117.2.1|722.61|700||Y|||1|1||740.1|#VALUE!|17.49|0.024203927|||||
Building Code- Structural|PWE|Duplicate Job Card|117.2.1|72.26|70||Y|||1|1||74|#VALUE!|1.74|0.024079712|||||
Building Code - Structural|PWE|Fence Permit for first 100 lineal feet Base Charge|117.2.4|56.77|55||Y|||1|1||58.14|#VALUE!|1.37|0.024132464|||||
Building Code - Structural|PWE|Fence Permit Base Charge Plus Fee for each additional 100 lineal feet or part thereof above first 100 lineal feet|117.2.4|8.77|8.5||Y|||1|1||8.98|#VALUE!|0.21|0.023945268|||||
Building Code - Structural|PWE|Fire Escape Base Charge for 1 to 4 stories|117.2.5|30.96|30||Y|||1|1||31.7|#VALUE!|0.74|0.023901809|||||
Building Code - Structural|PWE|Fire escape Base Charge Plus Fee for each additional story over first 4 Stories|117.2.5|15.48|15||Y|||1|1||15.85|#VALUE!|0.37|0.023901809|||||
Building Code - Structural|PWE|Sidewalk Permit Base Charge for first 100 lineal feet|117.2.6|36.13|35||Y|||1|1||37|#VALUE!|0.87|0.024079712|||||
Building Code - Structural|PWE|Sidewalk Permit Base Charge Plus Fee for each additional 100 lineal feet or part thereof above first 100 lineal feet|117.2.6|8.77|8.5||Y|||1|1||8.98|#VALUE!|0.21|0.023945268|||||
Building Code - Structural|PWE|Driveway Permit (approach in Right-of-Way)|117.2.6|36.13|35||Y|||1|1||37|#VALUE!|0.87|0.024079712|||||
Building Code - Structural|PWE|Culvert Pipe (not used for driveway) Base Charge for first 100 lineal feet|117.2.6|36.13|35||Y|||1|1||37|#VALUE!|0.87|0.024079712|||||
Building Code- Structural|PWE|Culvert Pipe (not used for driveway) Base Charge Plus Fee for each additional 100 lineal feet or part thereof above first 100 lineal feet|117.2.6|8.77|8.5||Y|||1|1||8.98|#VALUE!|0.21|0.023945268|||||
Building Code - Structural|PWE|Curb & Gutter Base Charge for first 100 lineal feet |117.2.6|36.13|35||Y|||1|1||37|#VALUE!|0.87|0.024079712|||||
Building Code - Structural|PWE|Curb & Gutter Base Charge Plus Fee for each additional 100 lineal feet or part thereof above the first 100 lineal feet|117.2.6|8.77|8.5||Y|||1|1||8.98|#VALUE!|0.21|0.023945268|||||
Building Code - Structural|PWE|Parking Lot Base Charge for first 1,000 sq ft or part thereof|117.2.7|72.26|70||Y|||1|1||74|#VALUE!|1.74|0.024079712|||||
Building Code - Structural|PWE|Parking Lot Base Charge Plus Fee for each additional 1,000 sq feet or part thereof above first 1,000 feet|117.2.7|2.58|2.5||Y|||1|1||2.64|#VALUE!|0.06|0.023255814|||||
Building Code - Structural|PWE|Plan Review Fee - Manufactured Home Park Base Charge for up to first 15 spaces|117.2.8|72.26|70||Y|||1|1||74|#VALUE!|1.74|0.024079712|||||
Building Code - Structural|PWE|Plan Review Fee - Manufactured Home Park  Base Charge Plus Fee for each space above the first 15 spaces|117.2.8|2.06|2||Y|||1|1||2.1|#VALUE!|0.04|0.019417476|||||
Building Code - Structural|PWE|Plan Review Fee - Residential Master Plan|117.2.8|72.26|70||Y|||4|1||74|#VALUE!|1.74|0.024079712|||||
Building Code - Structural|PWE|Re-examination of Plans or Deferred Submittal of plans ($74.00, or 15% of the Permit Fee, whichever is greater)|117.2.8|72.26|70||Y|||4|1||74|#VALUE!|1.74|0.024079712|||||
Building Code- Structural|PWE|Paving Plan Review - See Section 117.2.8 (when not associated with any other paving or driveway permit)|117.2.8|72.26|70||Y|||4|1||74|#VALUE!|1.74|0.024079712|||||
Building Code - Structural|PWE|Stationary and floating piers - first 100 sq ft, SEE LAKE HOUSTON|117.2.1|0|0|||||6|6||0|0|0|0|||||
Building Code - Structural|PWE|Stationary and floating piers - additional sq ft, SEE LAKE HOUSTON|117.2.1|0|0|||||6|6||0|0|0|0|||||
Building Code - Structural|PWE|Bulkheads - first 100 lineal feet, SEE LAKE HOUSTON|117.2.1|0|0|||||6|6||0|0|0|0|||||
Building Code - Structural|PWE|Bulkheads - additional 100 lineal feet, SEE LAKE HOUSTON|117.2.1|0|0||N|||6|6||0|0|0|0|||||
Building Code - Structural|PWE|Dredging, SEE LAKE HOUSTON|117.2.1|0|0||N|||6|6||0|0|0|0|||||
Building Code- Structural|PWE|Minimum Permit Fee|117.1.3|70|70||Y|||1|1||71.69|#VALUE!|1.69|0.024142857|||||
Buildings and Neighborhood Protection Inspection|PWE|Multi-Family Rental Building Inspection Base Charge for up to 25 units |10-158|103.23|100||Y|||3|1||105.72|#VALUE!|2.49|0.024120895|||||
Buildings and Neighborhood Protection Inspection|PWE|Multi-Family Rental Building Inspection Base Charge plus Fee for each unit in excess of the first 25|10-158|4.12|4||Y|||3|1||4.21|#VALUE!|0.09|0.02184466|||||
Buildings and Neighborhood Protection Inspection|PWE|MFRB Inspection administrative fee|10-158|10.32|10||Y|||3|1||10.56|#VALUE!|0.24|0.023255814|||||
Buildings and Neighborhood Protection Permit|PWE|Modular home (Residence) Placement Permit|10-240|25.8|25||Y|||1|1||26.42|#VALUE!|0.62|0.024031008|||||
Buildings and Neighborhood Protection Permit|PWE|Modular Home Placement on Sales Lot - Initial Permit|10-249|25.8|25||Y|||1|1||26.42|#VALUE!|0.62|0.024031008|||||
Buildings and Neighborhood Protection Permit|PWE|Modular Home Placement on Sales Lot - Annual Renewal Permit|10-250|25.8|25||Y|||1|1||26.42|#VALUE!|0.62|0.024031008|||||
Buildings and Neighborhood Protection Permit|PWE|Securing a Dangerous Building Permit Initial or Renewal|10-382|196.13|190||Y|||1|1||200.87|#VALUE!|4.74|0.024167644|||||
Buildings and Neighborhood Protection- License|PWE|License for House Repair or Resale Lot |10-49(e)(3)|103.23|100||Y|||2|1||105.72|#VALUE!|2.49|0.024120895|||||
Buildings and Neighborhood Protection- License|PWE|License Renewal for House Repair or Resale Lot |10-49(e)(4)|103.23|100||Y|||2|1||105.72|#VALUE!|2.49|0.024120895|||||
Buildings and Neighborhood Protection|PWE|House Moving Rescheduling Fee|10-58(b)|25.8|25||Y|||6|1||26.42|#VALUE!|0.62|0.024031008|||||
Buildings and Neighborhood Protection|PWE|Removal of House from Street by City|10-67|Calculation|Calculation||N|||6|6||Calculation|Calculation|TBD|TBD|||||
Buildings and Neighborhood Protection- License|PWE|Annual House Mover's License, Class A|10-87|72.26|70||Y|||2|1||74|#VALUE!|1.74|0.024079712|||||
Buildings and Neighborhood Protection- License|PWE|Annual House Mover's License, Class B|10-87|51.61|50||Y|||2|1||52.85|#VALUE!|1.24|0.024026351|||||
Buildings and Neighborhood Protection Permit|PWE|House Moving Permit, Base Fee, per Structure|10-99(a)|61.93|60||Y|||1|1||63.42|#VALUE!|1.49|0.024059422|||||
Buildings and Neighborhood Protection Inspection|PWE|House Moving Inspection Service Base Charge for first 4 hours or any portion thereof|10-99(a)|123.87|120||Y|||3|1||126.86|#VALUE!|2.99|0.024138209|||||
Buildings and Neighborhood Protection|PWE|House Moving Inspection Service Base Charge plus Fee for each additional hour above the first 4 hours|10-99(a)|36.13|35||Y|||6|1||37|#VALUE!|0.87|0.024079712|||||
Buildings and Neighborhood Protection Inspection|PWE|Emergency House Moving Inspection Service|10-99(c)|51.61|50||Y|||3|1||52.85|#VALUE!|1.24|0.024026351|||||
Buildings and Neighborhood Protection|PWE|Permit Administrative Fee|10-2|25.8|25||Y|||6|1||26.42|#VALUE!|0.62|0.024031008|||||
Buildings and Neighborhood Protection Permit|PWE|Permit Fee Minimum |117.1.3|70|70||Y|||1|1||71.69|#VALUE!|1.69|0.024142857|||||
Neighborhood Traffic Management|PWE|Fees for a neighborhood traffic project|45-363(b)|Calculation|Calculation||N|||6|6||Calculation|Calculation|0|0|||||
Buildings and Neighborhood Protection Inspection|PWE|Tunneling to Inspect or Repair Utility Installations|10-37|Calculation|Calculation||N|||3|6||Calculation|Calculation|Calculation|TBD|||||
Development and Utility System Extensions|PWE|Developer Contract Application Fee for 40 or fewer lots| 47-164(6)a|330|330||N||41366|6|5||330|330|0|0|||||
Development and Utility System Extensions|PWE|Developer Contract Application Fee for 41-50 lots| 47-164(6)a|380|380||N||41366|6|5||380|380|0|0|||||
Development and Utility System Extensions|PWE|Developer Contract Application fee, 51-60 lots| 47-164(6)a|430|430||N||41366|6|5||430|430|0|0|||||
Development and Utility System Extensions|PWE|Developer Contract Application Fee for 61-70 lots| 47-164(6)a|480|480||N||41366|6|5||480|480|0|0|||||
Development and Utility System Extensions|PWE|Developer contract application fee, 71-80 lots| 47-164(6)a|530|530||N||41366|6|5||530|530|0|0|||||
Development and Utility System Extensions|PWE|Developer contract application fee, 81-90 lots| 47-164(6)a|590|590||N||41366|6|5||590|590|0|0|||||
Development and Utility System Extensions|PWE|Developer contract application fee, 91-100 lots| 47-164(6)a|650|650||N||41366|6|5||650|650|0|0|||||
Development and Utility System Extensions|PWE|Developer contract application fee, 101-110 lots| 47-164(6)a|700|700||N||41366|6|5||700|700|0|0|||||
Development and Utility System Extensions|PWE|Developer contract application fee, 111-120 lots| 47-164(6)a|750|750||N||41366|6|5||750|750|0|0|||||
Development and Utility System Extensions|PWE|Developer contract application fee, 121-130 lots| 47-164(6)a|800|800||N||41366|6|5||800|800|0|0|||||
Development and Utility System Extensions|PWE|Developer contract application fee, 131-140 lots| 47-164(6)a|850|850||N||41366|6|5||850|850|0|0|||||
Development and Utility System Extensions|PWE|Developer contract application fee, more than 140 lots | 47-164(6)a|960|960||N||41366|6|5||960|960|0|0|||||
Development and Utility System Extensions|PWE|Developer contract application fee, 30% and 50% developer contracts| 47-164(6)b|850|850||N||41366|6|5||850|850|0|0|||||
Development and Utility System Extensions|PWE|Application to extend term of developer contract| 47-164(6)c|530|530||N||41366|6|5||530|530|0|0|||||
Drainage Rates|PWE|Drainage rate per square foot of impervious Surface - Residential Curb & Gutter; Non-Residential|47-823|0.032|0.032||N|||6|6|Keep 3 decimal digits|0.032|0.032|0|0|||||
Drainage Rates|PWE|Drainage rate per square foot of impervious Surface - Residential Open Ditch|47-823|0.026|0.026||N|||6|6|Keep 3 decimal digits|0.026|0.026|0|0|||||
Excavation in Public Way|PWE|Initial Permit application, tunneling, jacking and boring only|40-136(b)(17)|129.03|125||Y|||1|1||132.15|#VALUE!|3.12|0.024180423|||||
Excavation in Public Way|PWE|Initial Permit application, all other methods of excavation|40-136(b)(17)|180.65|175||Y|||1|1||185.02|#VALUE!|4.37|0.024190423|||||
Excavation in Public Way|PWE|Excavation permit extension application fee, other than steel plate temporary surface|40-148|25.8|25||Y|||1|1||26.42|#VALUE!|0.62|0.024031008|||||
Excavation in Public Way|PWE|Excavation permit extension application fee, steel plate temporary surface|40-148|51.61|50||Y|||1|1||52.85|#VALUE!|1.24|0.024026351|||||
Excavation in Public Way|PWE|Data fee for non-electronic submission, per application|40-148|51.61|50||Y|||1|1||52.85|#VALUE!|1.24|0.024026351|||||
Excavation in Public Way|PWE|Application fees for permits, permit extensions, or data entry|40-149|Calculation|Calculation||N|||1|6||Calculation|Calculation|#VALUE!|#VALUE!|||||
Flood plain |PWE|Development permit application, single family residential, no substantial improvement / no addition|19-16(a)|103.23|100||Y|||1|1||105.72|#VALUE!|2.49|0.024120895|||||
Flood plain |PWE|Development permit - single family residential, new|19-16(a)|309.69|300||Y|||1|1||317.18|#VALUE!|7.49|0.024185476|||||
Flood plain  |PWE|Development permit - single family residential, substantial improvement / addition|19-16(a)|309.69|300||Y|||1|1||317.18|#VALUE!|7.49|0.024185476|||||
Flood plain |PWE|Development permit - single family residential, residential re-plat|19-16(a)|309.69|300||Y|||1|1||317.18|#VALUE!|7.49|0.024185476|||||
Flood plain |PWE|Development Permit - Single Family Residential - Variance|19-20|516.15|500||Y|||1|1||528.64|#VALUE!|12.49|0.024198392|||||
Flood plain  |PWE|Development permit - single family residential, existing structure in a floodway|19-43(b)|619.38|600||Y|||1|1||634.37|#VALUE!|14.99|0.024201621|||||
Flood plain  |PWE|Development permit - single family residential, vacant land in a floodway|19-43(c)  |619.38|600||Y|||1|1||634.37|#VALUE!|14.99|0.024201621|||||
Flood plain |PWE|Development permit - single family residential, inspection at transfer of title|19-16(a)|103.23|100||Y|||1|1||105.72|#VALUE!|2.49|0.024120895|||||
Flood plain|PWE|Development permit - single family residential, Floodway Variance application|19-20|2580.75|2500||Y|||1|1||2643.24|#VALUE!|62.49|0.024213891|||||
Flood plain |PWE|Development permit - commercial / multi-family residential, no substantial improvement / no addition|19-16(a)|309.69|300||Y|||1|1||317.18|#VALUE!|7.49|0.024185476|||||
Flood plain |PWE|Development permit - commercial / multi-family residential, grading and fill site work less than 1 acre, w/o Conveyance|19-16(a)|1264.57|1225||y|||1|1||1295.19|#VALUE!|30.62|0.024213764|||||
Flood plain                |PWE|Development permit - commercial / multi-family residential, grading and fill site work less than 1 acre, w/ Conveyance|19-16(a)|1687.81|1635||Y|||1|1||1728.67|#VALUE!|40.86|0.024208886|||||
Flood plain |PWE|Development permit - commercial / multi-family residential, grading and fill site work equal or greater than 1 acre, w/o Conveyance|19-16(a)|1687.81|1635||Y|||1|1||1728.67|#VALUE!|40.86|0.024208886|||||
Flood plain |PWE|Development permit - commercial / multi-family residential, grading and fill site work equal or greater than 1 acre, w/ Conveyance|19-16(a)|2111.05|2045||Y|||1|1||2162.16|#VALUE!|51.11|0.024210701|||||
Flood plain  |PWE|Development permit - commercial / multi-family residential, substantial improvement / addition less than 1 acre, w/o Conveyance|19-16(a)|1264.57|1225||y|||1|1||1295.19|#VALUE!|30.62|0.024213764|||||
Flood plain  |PWE|Development permit - commercial / multi-family residential, substantial improvement / addition less than 1 acre, w/ conveyance|19-16(a)|2111.05|2045||Y|||1|1||2162.16|#VALUE!|51.11|0.024210701|||||
Flood plain  |PWE|Development permit - commercial  /multi-family residential, substantial improvement / addition equal or greater than 1 acre,  w/o Conveyance|19-16(a)|1687.81|1635||y|||1|1||1728.67|#VALUE!|40.86|0.024208886|||||
Flood plain |PWE|Development permit - commercial / multi-family residential, substantial improvement / addition, equal or greater than 1 acre,  w/conveyance|19-16(a)|2529.13|2450||Y|||1|1||2590.37|#VALUE!|61.24|0.02421386|||||
Flood plain |PWE|Development permit - commercial / multi-family residential, redevelopment less than 1 acre, w/o Conveyance|19-16(a)|1687.81|1635||y|||1|1||1728.67|#VALUE!|40.86|0.024208886|||||
Flood plain |PWE|Development permit - commercial / multi-family residential, redevelopment less than 1 acre,  w/ Conveyance|19-16(a)|2529.13|2450||Y|||1|1||2590.37|#VALUE!|61.24|0.02421386|||||
Flood plain  |PWE|Development permit - commercial / multi-family residential, redevelopment equal or greater than 1 acre, w/o Conveyance|19-16(a)|2111.05|2045||y|||1|1||2162.16|#VALUE!|51.11|0.024210701|||||
Flood plain         |PWE|Development permit - commercial / multi-family residential, redevelopment equal or greater than 1 acre, w/ Conveyance|19-16(a)|2529.13|2450||Y|||1|1||2590.37|#VALUE!|61.24|0.02421386|||||
Flood plain |PWE|Development permit - commercial / multi-family residential, new, less than 1 acre, w/o Conveyance|19-16(a)|1687.81|1635||y|||1|1||1728.67|#VALUE!|40.86|0.024208886|||||
Flood plain |PWE|Development permit - commercial / multi-family residential, new, less than 1 acre, w/ Conveyance|19-16(a)|2529.13|2450||Y|||1|1||2590.37|#VALUE!|61.24|0.02421386|||||
Flood plain  |PWE|Development permit - commercial / multi-family residential, new, equal or greater than 1 acre, w/o Conveyance|19-16(a)|2111.05|2045||y|||1|1||2162.16|#VALUE!|51.11|0.024210701|||||
Flood plain |PWE|Development permit - commercial / multi-family residential, new, equal or greater than 1 acre,  w/ Conveyance|19-16(a)|2529.13|2450||Y|||1|1||2590.37|#VALUE!|61.24|0.02421386|||||
Flood plain|PWE|Development permit - commercial / multifamily residential, variance application|19-20|1032.3|1000||Y|||1|1||1057.29|#VALUE!|24.99|0.024208079|||||
Flood plain |PWE|Development permit - commercial / multi-family residential, existing structure in floodway|19-43(b)|2529.13|2450||Y|||1|1||2590.37|#VALUE!|61.24|0.02421386|||||
Flood plain |PWE|Development permit - commercial / multi-family residential, vacant land in floodway|19-43(c)|2529.13|2450||Y|||1|1||2590.37|#VALUE!|61.24|0.02421386|||||
Flood plain  |PWE|Development permit - commercial / multi-family residential, inspection at transfer of title|19-43(c)|103.23|100||Y|||1|1||105.72|#VALUE!|2.49|0.024120895|||||
Flood plain  |PWE|Development permit - Commercial / Multi-Family Residential, Floodway Variance application|19-20|2580.75|2500||Y|||1|1||2643.24|#VALUE!|62.49|0.024213891|||||
Lake Houston|PWE|Pier Construction Base Charge for first 100 square feet|23-15 / 2011-862 (10.12.11)|300|300||Y|||6|1||307.26|#VALUE!|7.26|0.0242|||||
Lake Houston|PWE|Pier Construction Base Charge Plus Fee per 100 square feet or part thereof above first 100 sq ft |23-15 / 2011-862 (10.12.11)|5|5||Y|||6|1||5.12|#VALUE!|0.12|0.024|||||
Lake Houston|PWE|Boat Ramp Construction per location|23-15 / 2011-862 (10.12.11)|300|300||Y|||6|1||307.26|#VALUE!|7.26|0.0242|||||
Lake Houston|PWE|Dredging Permit|23-15 / 2011-862 (10.12.11)|500|500||Y|||6|1||512.1|#VALUE!|12.1|0.0242|||||
Lake Houston|PWE|Annual Pier Licensing|23-15 / 2011-862 (10.12.11)|35|35||Y|||6|1||35.84|#VALUE!|0.84|0.024|||||
Lake Houston|PWE|Annual Shoreline License|23-15 / 2011-862 (10.12.11)|50|50||Y|||6|1||51.21|#VALUE!|1.21|0.0242|||||
Lake Houston|PWE|Annual Vessel Licensing|23-15 / 2011-862 (10.12.11)|50|50||Y|||6|1||51.21|#VALUE!|1.21|0.0242|||||
Lake Houston|PWE|Lake Houston Permit, license or other authorization|23-15|By Motion|By Motion||Y|||1|1||By Motion|#VALUE!|By Motion|By Motion|||||
Lake Houston|PWE|Lake Houston Removal of Deteriorated Structures|23-15 / 2011-862 (10.12.11)|100|100||Y|||6|1||102.42|#VALUE!|2.42|0.0242|||||
Lake Houston|PWE|Bulkhead Installation Base Charge for first 100 lineal feet|23-15 / 2011-862 (10.12.11)|15|15||Y|||6|1||15.36|#VALUE!|0.36|0.024|||||
Lake Houston|PWE|Bulkhead Installation Base Charge Plus Fee for each additional 100 lineal feet or part thereof above first 100 lineal feet|23-15 / 2011-862 (10.12.11)|100|100||Y|||6|1||102.42|#VALUE!|2.42|0.0242|||||
Lake Houston|PWE|Administrative Fee Lake Houston |23-15 / 2011-862 (10.12.11)|25.8|25||Y|||5|1||26.42|#VALUE!|0.62|0.024031008|||||
Manufactured Home & Recreational Vehicles|PWE|Authorization for connection of manufactured homes and/or recreational vehicles to electricity on a sales lot and each annual renewal |"29-148/
29-160"|154.84|150||Y|||1|1||158.58|#VALUE!|3.74|0.024153965|||||
Manufactured Home & Recreational Vehicles Inspection|PWE|Inspection of placement of manufactured home |"29-41/
29-160"|61.93|60||Y|||3|1||63.42|#VALUE!|1.49|0.024059422|||||
Manufactured Home & Recreational Vehicles Inspection|PWE|Re-inspection fee for second re-inspection and each subsequent re-inspection of placement |"29-41/
29-160"|25.8|25||Y|||3|1||26.42|#VALUE!|0.62|0.024031008|||||
Manufactured Home & Recreational Vehicles|PWE|Certification of manufactured home |"29-42/
29-160"|41.29|40||Y|||1|1||42.28|#VALUE!|0.99|0.02397675|||||
Manufactured Home & Recreational Vehicles Inspection|PWE|Re-inspection fee for second inspection and each subsequent re-inspection for certification |"29-42/
29-160"|20.64|20||Y|||3|1||21.13|#VALUE!|0.49|0.02374031|||||
Manufactured Home & Recreational Vehicles Inspection|PWE|Inspection fee for recreational vehicle |"29-61/
29-160"|25.8|25||Y|||3|1||26.42|#VALUE!|0.62|0.024031008|||||
Manufactured Home & Recreational Vehicles- License|PWE|Transfer of license for manufactured home park or recreational vehicle park |"29-77/
29-160"|77.42|75||Y|||2|1||79.29|#VALUE!|1.87|0.024153965|||||
Manufactured Home & Recreational Vehicles- License|PWE|Original manufactured home park or recreational vehicle park license |"29-78(a)/
29-160"|309.69|300||Y|||2|1||317.18|#VALUE!|7.49|0.024185476|||||
Manufactured Home & Recreational Vehicles|PWE|Annual fee for each manufactured home lot in a manufactured home park |"29-78(a)/
29-160"|36.13|35||Y|||1|1||37|#VALUE!|0.87|0.024079712|||||
Manufactured Home & Recreational Vehicles|PWE|Annual fee for each lot designed and used exclusively for recreational vehicles in a manufactured home park or a recreational vehicle park |"29-78(a)/
29-160"|61.93|60||Y|||1|1||63.42|#VALUE!|1.49|0.024059422|||||
Manufactured Home & Recreational Vehicles- License|PWE|Renewal of manufactured home park or recreational vehicle park license |"29-78(b)/
29-160"|56.77|55||Y|||2|1||58.14|#VALUE!|1.37|0.024132464|||||
Manufactured Home Inspection|PWE|Manufactured home inspection fee (where no state inspection has been made)|117.5.1|72.26|70||Y|||3|1||74|#VALUE!|1.74|0.024079712|||||
Mechanical Code - Validity|PWE|Validity - Fee for deceased contractor's permit transfer to new licensed contractor  |114.3 / 2011-656 (8.3.11)|74.76|74.76||Y|||1|1||76.57|#VALUE!|1.81|0.024210808|||||
Mechanical Code - Fee Refunds|PWE|Refunds - Base Charge |115.6.1|25.8|25||Y|||6|1||26.42|#VALUE!|0.62|0.024031008|||||
Mechanical Code - Fee Refunds|PWE|Refunds - Base Charge plus 10% |115.6.1|Calculation|Calculation||N|||6|6||Calculation||||||||
Mechanical Code- License Renewals|PWE|Stationary Engineer's License renewal (If paid within 30 days of expiration)|123.3|70|70||Y|||2|1||71.69|#VALUE!|1.69|0.024142857|||||
Mechanical Code - License Renewals|PWE|Stationary Engineer's License renewal (more than 30 days past expiration)|123.3|75|75||Y|||2|1||76.81|#VALUE!|1.81|0.024133333|||||
Mechanical Code - License Renewals|PWE|Stationary Engineer's License renewal (each year/part year past expiration)|123.3|70|70||Y|||2|1||71.69|#VALUE!|1.69|0.024142857|||||
Mechanical Code - State License Notification Requirement|PWE|Initial State License Notification Requirement|121.6|70|70||Y|||2|1||71.69|#VALUE!|1.69|0.024142857|||||
Mechanical Code- State License Notification Requirement|PWE|Annual State License Notification Requirement / Renewal|121.6 / 2010-1016 (12.15.10)|70|70||Y|||2|1||71.69|#VALUE!|1.69|0.024142857|||||
Mechanical Code- Stationary Engineer Examination Application|PWE|Stationary Engineer Exam Fee|123.2 / 2010-1016 (12.15.10)|103.23|100||Y|||6|1||105.72|#VALUE!|2.49|0.024120895|||||
Mechanical Code- Stationary Engineer Examination Application|PWE|Stationary Engineer License Fee|123.2 / 2010-1016 (12.15.10)|70|70||Y|||6|1||71.69|#VALUE!|1.69|0.024142857|||||
Mechanical Code- Validity, Replacement of License|PWE|Replacement license|123.4 / 2010-1016 (12.15.10)|70|70||Y|||2|1||71.69|#VALUE!|1.69|0.024142857|||||
Monitoring Wells & Environmental Test Boring Facilities|PWE|Original Application Fee|40-296 / 2012-522 (5.30.12)|350|350||N||41456|6|1||350|350|0|0|||||
Monitoring Wells & Environmental Test Boring Facilities|PWE|Original Application - Fee for 2nd and each additional facility on the original application |40-296 / 2012-522 (5.30.12)|75|75||N||41456|1|1||75|75|0|0|||||
Monitoring Wells & Environmental Test Boring Facilities|PWE|Renewal Application Fee|40-296 / 2012-522 (5.30.12)|75|75||N||41456|1|1||75|75|0|0|||||
Monitoring Wells & Environmental Test Boring Facilities|PWE|Renewal Application - Fee for 2nd and each additional facility on the renewal application |40-296 / 2012-522 (5.30.12)|75|75||N||41456|1|1||75|75|0|0|||||
Oil & Gas Wells|PWE|Application to drill, complete and operate a well for oil or gas - Filing fee|31-24(c)|258.07|250||Y|||6|1||264.31|#VALUE!|6.24|0.024179486|||||
Pipelines, Conduits, etc. across, along or under Streets|PWE|Permit fee: per person|40-234(f)(1)|2064.6|2000||Y|||1|1||2114.59|#VALUE!|49.99|0.024212923|||||
Pipelines, Conduits, etc. across, along or under Streets|PWE|Pipeline fee: per pipeline|40-234(f)(2)|1032.3|1000||Y|||1|1||1057.29|#VALUE!|24.99|0.024208079|||||
Pipelines, Conduits, etc. across, along or under Streets|PWE|Permit fee: per person during term of permit|40-234(f)(3)|1032.3|1000||Y|||1|1||1057.29|#VALUE!|24.99|0.024208079|||||
Pipelines, Conduits, etc. across, along or under Streets|PWE|Application Fee: to construct a new pipeline|40-234(f)(4)|2064.6|2000||Y|||1|1||2114.59|#VALUE!|49.99|0.024212923|||||
Pipelines, Conduits, etc. across, along or under Streets|PWE|Adding a new pipeline to the Permit|40-234(f)(5)|516.15|500||Y|||1|1||528.64|#VALUE!|12.49|0.024198392|||||
Private Street Work|PWE|Permit fee - Curb and Gutter (or either), per lineal foot, excluding portions within intersections of streets above Minimum|40-62(a)(1)|0.05|0.05||Y|||1|1||0.05|#VALUE!|0|0|||||
Private Street Work|PWE|Permit Fee - Pavement other than with reinforced concrete base, per lineal foot, excluding portions within intersections of streets above Minimum|40-62(a)(2)|0.1|0.1||Y|||1|1||0.1|#VALUE!|0|0|||||
Private Street Work|PWE|Pavement other than with reinforced concrete base without curb or gutter, per lineal foot, excluding portions within intersections of streets above Minimum|40-62(a)(3)|0.1|0.1||Y|||1|1||0.1|#VALUE!|0|0|||||
Private Street Work|PWE|Pavement other than with reinforced concrete base with curb or gutter, per lineal foot, excluding portions within intersections of streets - pavement portion above Minimum|40-62(a)(3)|0.1|0.1||Y|||1|1||0.1|#VALUE!|0|0|||||
Private Street Work|PWE|Pavement other than with reinforced concrete base with curb or gutter, per lineal foot, excluding portions within intersections of streets - plus curb and gutter portion above Minimum|40-62(a)(3)|0.05|0.05||Y|||1|1||0.05|#VALUE!|0|0|||||
Private Street Work|PWE|Minimum Private Street Work fee per permit|40-62(b)|5|5||Y|||1|1||5.12|#VALUE!|0.12|0.024|||||
Required Connection to Public Sewers|PWE|Owners of real property, if within 300 ft. of City sewer main, to apply for sewer tap permit  |47-11|Any fee due the City for permit, including impact fees, if applicable|Any fee due the City for permit, including impact fees, if applicable||Y|||6|1||Any fee due the City for permit, including impact fees, if applicable|#VALUE!|Any fee due the City for permit, include. impact fees, if applicable|Any fee due the City for permit, include. impact fees, if applicable|||||
Sewer & Drain Contractors License Fee|PWE|License fee to lay private sanitary or storm sewer/drains|47-221|25.8|25||Y|||2|1||26.42|#VALUE!|0.62|0.024031008|||||
Sidewalk & Roadway Obstructions & Impairments|PWE|Single lane closure on local street, per lane, per block, per week| 40-371 (Table)|51.61|45||Y|||1|1||52.85|#VALUE!|1.24|0.024026351|||||
Sidewalk & Roadway Obstructions & Impairments|PWE|Single lane closure of roadway on major thoroughfare or major collector street outside CBD, per lane, per block, per week - during off-peak traffic hours| 40-371 (Table)|92.9|85||Y|||1|1||95.14|#VALUE!|2.24|0.024111948|||||
Sidewalk & Roadway Obstructions & Impairments|PWE|Single lane closure of roadway on major thoroughfare or major collector street outside CBD, per lane, per block, per week - during peak traffic hours| 40-371 (Table)|113.54|105||Y|||1|1||116.28|#VALUE!|2.74|0.024132464|||||
Sidewalk & Roadway Obstructions & Impairments|PWE|Single lane closure of roadway on major thoroughfare or major collector street inside CBD, per lane, per block, per week - during off-peak traffic hours| 40-371 (Table)|108.39|105||Y|||1|1||111.01|#VALUE!|2.62|0.024171972|||||
