Name/Type,Responsible Department,Permit/Fee Name and Description,Statutory Authority ," Fees As of Dec. 31, 2012 ","Fees As of
June 30, 2011","Fees As of April 1, 2012",Notes,Sec. 1-13 Increase Applies?,Sec. 1-14 Admin Fee Applies?,Increase Date,6 Dept. Assignment,"7 Dept. Assignment
",DECIMAL NOTES for PWE,"Fee As Jan 1, 2013",CPI increase 1.024214%in format #.####,Variance,% change,1.024214,PWE SEQUENCE Request,NOTE,Sequence Key,Change
Building Code - Structural,PWE,"Bulkheads - additional 100 lineal feet, SEE LAKE HOUSTON",117.2.1, -   ,$0.00 ,,,N,,,6,6,,$0.00,0.0000,$0.00,0.00%,,,,,
Building Code - Structural,PWE,"Dredging, SEE LAKE HOUSTON",117.2.1, -   ,$0.00 ,,,N,,,6,6,,$0.00,0.0000,$0.00,0.00%,,,,,
Building Code- Structural,PWE,Minimum Permit Fee,117.1.3, 70.00 ,$70.00 ,,,Y,,,1,1,,$71.69,#VALUE!,$1.69,2.41%,,,,,
Buildings and Neighborhood Protection Inspection,PWE,Multi-Family Rental Building Inspection Base Charge for up to 25 units ,10-158, 103.23 ,$100.00,,Minimum $100 total,Y,,,3,1,,$105.72,#VALUE!,$2.49,2.41%,,,,,
Buildings and Neighborhood Protection Inspection,PWE,Multi-Family Rental Building Inspection Base Charge plus Fee for each unit in excess of the first 25,10-158, 4.12 ,$4.00,,Minimum $100 total,Y,,,3,1,,$4.21,#VALUE!,$0.09,2.18%,,,,,
Buildings and Neighborhood Protection Inspection,PWE,MFRB Inspection administrative fee,10-158, 10.32 ,$10.00,,,Y,,,3,1,,$10.56,#VALUE!,$0.24,2.33%,,,,,
Buildings and Neighborhood Protection Permit,PWE,Modular home (Residence) Placement Permit,10-240, 25.80 ,$25.00,,,Y,,,1,1,,$26.42,#VALUE!,$0.62,2.40%,,,,,
Buildings and Neighborhood Protection Permit,PWE,Modular Home Placement on Sales Lot - Initial Permit,10-249, 25.80 ,$25.00,,,Y,,,1,1,,$26.42,#VALUE!,$0.62,2.40%,,,,,
Buildings and Neighborhood Protection Permit,PWE,Modular Home Placement on Sales Lot - Annual Renewal Permit,10-250, 25.80 ,$25.00,,,Y,,,1,1,,$26.42,#VALUE!,$0.62,2.40%,,,,,
Buildings and Neighborhood Protection Permit,PWE,Securing a Dangerous Building Permit Initial or Renewal,10-382, 196.13 ,$190.00,,,Y,,,1,1,,$200.87,#VALUE!,$4.74,2.42%,,,,,
Buildings and Neighborhood Protection- License,PWE,License for House Repair or Resale Lot ,10-49(e)(3), 103.23 ,$100.00,,,Y,,,2,1,,$105.72,#VALUE!,$2.49,2.41%,,,,,
Buildings and Neighborhood Protection- License,PWE,License Renewal for House Repair or Resale Lot ,10-49(e)(4), 103.23 ,$100.00,,,Y,,,2,1,,$105.72,#VALUE!,$2.49,2.41%,,,,,
Buildings and Neighborhood Protection,PWE,House Moving Rescheduling Fee,10-58(b), 25.80 ,$25.00,,,Y,,,6,1,,$26.42,#VALUE!,$0.62,2.40%,,,,,
Buildings and Neighborhood Protection,PWE,Removal of House from Street by City,10-67, Calculation ,Calculation,,,N,,,6,6,,Calculation,Calculation,TBD,TBD,,,,,
Buildings and Neighborhood Protection- License,PWE,"Annual House Mover's License, Class A",10-87, 72.26 ,$70.00,,,Y,,,2,1,,$74.00,#VALUE!,$1.74,2.41%,,,,,
Buildings and Neighborhood Protection- License,PWE,"Annual House Mover's License, Class B",10-87, 51.61 ,$50.00,,,Y,,,2,1,,$52.85,#VALUE!,$1.24,2.40%,,,,,
Buildings and Neighborhood Protection Permit,PWE,"House Moving Permit, Base Fee, per Structure",10-99(a), 61.93 ,$60.00,,,Y,,,1,1,,$63.42,#VALUE!,$1.49,2.41%,,,,,
Buildings and Neighborhood Protection Inspection,PWE,House Moving Inspection Service Base Charge for first 4 hours or any portion thereof,10-99(a), 123.87 ,$120.00,,,Y,,,3,1,,$126.86,#VALUE!,$2.99,2.41%,,,,,
Buildings and Neighborhood Protection,PWE,House Moving Inspection Service Base Charge plus Fee for each additional hour above the first 4 hours,10-99(a), 36.13 ,$35.00,,,Y,,,6,1,,$37.00,#VALUE!,$0.87,2.41%,,,,,
Buildings and Neighborhood Protection Inspection,PWE,Emergency House Moving Inspection Service,10-99(c), 51.61 ,$50.00,,,Y,,,3,1,,$52.85,#VALUE!,$1.24,2.40%,,,,,
Buildings and Neighborhood Protection,PWE,Permit Administrative Fee,10-2, 25.80 ,$25.00,,,Y,,,6,1,,$26.42,#VALUE!,$0.62,2.40%,,,,,
Buildings and Neighborhood Protection Permit,PWE,Permit Fee Minimum ,117.1.3, 70.00 ,$70.00 ,,,Y,,,1,1,,$71.69,#VALUE!,$1.69,2.41%,,,,,
Neighborhood Traffic Management,PWE,Fees for a neighborhood traffic project,45-363(b), Calculation ,Calculation,,"The director shall, from time to time, prepare and submit for approval by motion of the city council a schedule of fees that shall be paid by an applicant for a project. {95-1070, ? 1, 10-4-95}",N,,,6,6,,Calculation,Calculation,$0.00,0.00%,,,,,
Buildings and Neighborhood Protection Inspection,PWE,Tunneling to Inspect or Repair Utility Installations,10-37, Calculation ,Calculation,,,N,,,3,6,,Calculation,Calculation,Calculation,TBD,,,,,
Development and Utility System Extensions,PWE,Developer Contract Application Fee for 40 or fewer lots, 47-164(6)a, 330.00 ,$330.00 ,,,N,,4/2/13,6,5,,$330.00,330.0000,$0.00,0.00%,,,,,
Development and Utility System Extensions,PWE,Developer Contract Application Fee for 41-50 lots, 47-164(6)a, 380.00 ,$380.00 ,,,N,,4/2/13,6,5,,$380.00,380.0000,$0.00,0.00%,,,,,
Development and Utility System Extensions,PWE,"Developer Contract Application fee, 51-60 lots", 47-164(6)a, 430.00 ,$430.00 ,,,N,,4/2/13,6,5,,$430.00,430.0000,$0.00,0.00%,,,,,
Development and Utility System Extensions,PWE,Developer Contract Application Fee for 61-70 lots, 47-164(6)a, 480.00 ,$480.00 ,,,N,,4/2/13,6,5,,$480.00,480.0000,$0.00,0.00%,,,,,
Development and Utility System Extensions,PWE,"Developer contract application fee, 71-80 lots", 47-164(6)a, 530.00 ,$530.00 ,,,N,,4/2/13,6,5,,$530.00,530.0000,$0.00,0.00%,,,,,
Development and Utility System Extensions,PWE,"Developer contract application fee, 81-90 lots", 47-164(6)a, 590.00 ,$590.00 ,,,N,,4/2/13,6,5,,$590.00,590.0000,$0.00,0.00%,,,,,
Development and Utility System Extensions,PWE,"Developer contract application fee, 91-100 lots", 47-164(6)a, 650.00 ,$650.00 ,,,N,,4/2/13,6,5,,$650.00,650.0000,$0.00,0.00%,,,,,
Development and Utility System Extensions,PWE,"Developer contract application fee, 101-110 lots", 47-164(6)a, 700.00 ,$700.00 ,,,N,,4/2/13,6,5,,$700.00,700.0000,$0.00,0.00%,,,,,
Development and Utility System Extensions,PWE,"Developer contract application fee, 111-120 lots", 47-164(6)a, 750.00 ,$750.00 ,,,N,,4/2/13,6,5,,$750.00,750.0000,$0.00,0.00%,,,,,
Development and Utility System Extensions,PWE,"Developer contract application fee, 121-130 lots", 47-164(6)a, 800.00 ,$800.00 ,,,N,,4/2/13,6,5,,$800.00,800.0000,$0.00,0.00%,,,,,
Development and Utility System Extensions,PWE,"Developer contract application fee, 131-140 lots", 47-164(6)a, 850.00 ,$850.00 ,,,N,,4/2/13,6,5,,$850.00,850.0000,$0.00,0.00%,,,,,
Development and Utility System Extensions,PWE,"Developer contract application fee, more than 140 lots ", 47-164(6)a, 960.00 ,$960.00 ,,,N,,4/2/13,6,5,,$960.00,960.0000,$0.00,0.00%,,,,,
Development and Utility System Extensions,PWE,"Developer contract application fee, 30% and 50% developer contracts", 47-164(6)b, 850.00 ,$850.00 ,,,N,,4/2/13,6,5,,$850.00,850.0000,$0.00,0.00%,,,,,
Development and Utility System Extensions,PWE,Application to extend term of developer contract, 47-164(6)c, 530.00 ,$530.00 ,,,N,,4/2/13,6,5,,$530.00,530.0000,$0.00,0.00%,,,,,
Drainage Rates,PWE,Drainage rate per square foot of impervious Surface - Residential Curb & Gutter; Non-Residential,47-823, 0.032 ,$0.032 ,,By Motion No. 2011-0282,N,,,6,6,Keep 3 decimal digits,$0.03,0.0320,$0.00,0.00%,,,,,
Drainage Rates,PWE,Drainage rate per square foot of impervious Surface - Residential Open Ditch,47-823, 0.026 ,$0.026 ,,By Motion No. 2011-0282,N,,,6,6,Keep 3 decimal digits,$0.03,0.0260,$0.00,0.00%,,,,,
Excavation in Public Way,PWE,"Initial Permit application, tunneling, jacking and boring only",40-136(b)(17), 129.03 ,$125.00,,,Y,,,1,1,,$132.15,#VALUE!,$3.12,2.42%,,,,,
Excavation in Public Way,PWE,"Initial Permit application, all other methods of excavation",40-136(b)(17), 180.65 ,$175.00,,,Y,,,1,1,,$185.02,#VALUE!,$4.37,2.42%,,,,,
Excavation in Public Way,PWE,"Excavation permit extension application fee, other than steel plate temporary surface",40-148, 25.80 ,$25.00,,,Y,,,1,1,,$26.42,#VALUE!,$0.62,2.40%,,,,,
Excavation in Public Way,PWE,"Excavation permit extension application fee, steel plate temporary surface",40-148, 51.61 ,$50.00,,,Y,,,1,1,,$52.85,#VALUE!,$1.24,2.40%,,,,,
Excavation in Public Way,PWE,"Data fee for non-electronic submission, per application",40-148, 51.61 ,$50.00,,,Y,,,1,1,,$52.85,#VALUE!,$1.24,2.40%,,,,,
Excavation in Public Way,PWE,"Application fees for permits, permit extensions, or data entry",40-149, Calculation ,Calculation,,"The director shall, from time to time, prepare and submit for approval by motion of the city council a schedule of nonrefundable application fees that shall be paid by an applicant for a permit, permit extension or data entry.  {06-595, ? 14, 6-7-06}",N,,,1,6,,Calculation,Calculation,#VALUE!,#VALUE!,,,,,
Flood plain ,PWE,"Development permit application, single family residential, no substantial improvement / no addition",19-16(a), 103.23 ,$100.00,,"Director shall, from time to time, prepare and submit for approval by motion of the city council a schedule of fees
{2008-658, 7-23-2008}",Y,,,1,1,,$105.72,#VALUE!,$2.49,2.41%,,,,,
Flood plain ,PWE,"Development permit - single family residential, new",19-16(a), 309.69 ,$300.00,,"Director shall, from time to time, prepare and submit for approval by motion of the city council a schedule of fees
{2008-658, 7-23-2008}",Y,,,1,1,,$317.18,#VALUE!,$7.49,2.42%,,,,,
Flood plain  ,PWE,"Development permit - single family residential, substantial improvement / addition",19-16(a), 309.69 ,$300.00,,"Director shall, from time to time, prepare and submit for approval by motion of the city council a schedule of fees
{2008-658, 7-23-2008}",Y,,,1,1,,$317.18,#VALUE!,$7.49,2.42%,,,,,
Flood plain ,PWE,"Development permit - single family residential, residential re-plat",19-16(a), 309.69 ,$300.00,,"Director shall, from time to time, prepare and submit for approval by motion of the city council a schedule of fees
{2008-658, 7-23-2008}",Y,,,1,1,,$317.18,#VALUE!,$7.49,2.42%,,,,,
Flood plain ,PWE,Development Permit - Single Family Residential - Variance,19-20, 516.15 ,$500.00,,,Y,,,1,1,,$528.64,#VALUE!,$12.49,2.42%,,,,,
Flood plain  ,PWE,"Development permit - single family residential, existing structure in a floodway",19-43(b), 619.38 ,$600.00,,"Director shall, from time to time, prepare and submit for approval by motion of the city council a schedule of fees
{2008-658, 7-23-2008}",Y,,,1,1,,$634.37,#VALUE!,$14.99,2.42%,,,,,
Flood plain  ,PWE,"Development permit - single family residential, vacant land in a floodway",19-43(c)  , 619.38 ,$600.00,,"Director shall, from time to time, prepare and submit for approval by motion of the city council a schedule of fees
{2008-658, 7-23-2008}",Y,,,1,1,,$634.37,#VALUE!,$14.99,2.42%,,,,,
Flood plain ,PWE,"Development permit - single family residential, inspection at transfer of title",19-16(a), 103.23 ,$100.00,,"Director shall, from time to time, prepare and submit for approval by motion of the city council a schedule of fees
{2008-658, 7-23-2008}",Y,,,1,1,,$105.72,#VALUE!,$2.49,2.41%,,,,,
Flood plain,PWE,"Development permit - single family residential, Floodway Variance application",19-20," 2,580.75 ","$2,500.00",,"Director shall, from time to time, prepare and submit for approval by motion of the city council a schedule of fees
{2006-894, 8-30-2006}",Y,,,1,1,,"$2,643.24",#VALUE!,$62.49,2.42%,,,,,
Flood plain ,PWE,"Development permit - commercial / multi-family residential, no substantial improvement / no addition",19-16(a), 309.69 ,$300.00,,"Director shall, from time to time, prepare and submit for approval by motion of the city council a schedule of fees
{2008-658, 7-23-2008}",Y,,,1,1,,$317.18,#VALUE!,$7.49,2.42%,,,,,
Flood plain ,PWE,"Development permit - commercial / multi-family residential, grading and fill site work less than 1 acre, w/o Conveyance",19-16(a)," 1,264.57 ","$1,225.00",,"Director shall, from time to time, prepare and submit for approval by motion of the city council a schedule of fees
{2008-658, 7-23-2008}",y,,,1,1,,"$1,295.19",#VALUE!,$30.62,2.42%,,,,,
Flood plain                ,PWE,"Development permit - commercial / multi-family residential, grading and fill site work less than 1 acre, w/ Conveyance",19-16(a)," 1,687.81 ","$1,635.00",,"director shall, from time to time, prepare and submit for approval by motion of the city council a schedule of fees
{2008-658, 7-23-2008}",Y,,,1,1,,"$1,728.67",#VALUE!,$40.86,2.42%,,,,,
Flood plain ,PWE,"Development permit - commercial / multi-family residential, grading and fill site work equal or greater than 1 acre, w/o Conveyance",19-16(a)," 1,687.81 ","$1,635.00",,"Director shall, from time to time, prepare and submit for approval by motion of the city council a schedule of fees
{2008-658, 7-23-2008}",Y,,,1,1,,"$1,728.67",#VALUE!,$40.86,2.42%,,,,,
Flood plain ,PWE,"Development permit - commercial / multi-family residential, grading and fill site work equal or greater than 1 acre, w/ Conveyance",19-16(a)," 2,111.05 ","$2,045.00",,"Director shall, from time to time, prepare and submit for approval by motion of the city council a schedule of fees
{2008-658, 7-23-2008}",Y,,,1,1,,"$2,162.16",#VALUE!,$51.11,2.42%,,,,,
Flood plain  ,PWE,"Development permit - commercial / multi-family residential, substantial improvement / addition less than 1 acre, w/o Conveyance",19-16(a)," 1,264.57 ","$1,225.00",,"Director shall, from time to time, prepare and submit for approval by motion of the city council a schedule of fees
{2008-658, 7-23-2008}",y,,,1,1,,"$1,295.19",#VALUE!,$30.62,2.42%,,,,,
Flood plain  ,PWE,"Development permit - commercial / multi-family residential, substantial improvement / addition less than 1 acre, w/ conveyance",19-16(a)," 2,111.05 ","$2,045.00",,"Director shall, from time to time, prepare and submit for approval by motion of the city council a schedule of fees
{2008-658, 7-23-2008}",Y,,,1,1,,"$2,162.16",#VALUE!,$51.11,2.42%,,,,,
Flood plain  ,PWE,"Development permit - commercial  /multi-family residential, substantial improvement / addition equal or greater than 1 acre,  w/o Conveyance",19-16(a)," 1,687.81 ","$1,635.00",,"Director shall, from time to time, prepare and submit for approval by motion of the city council a schedule of fees
{2008-658, 7-23-2008}",y,,,1,1,,"$1,728.67",#VALUE!,$40.86,2.42%,,,,,
Flood plain ,PWE,"Development permit - commercial / multi-family residential, substantial improvement / addition, equal or greater than 1 acre,  w/conveyance",19-16(a)," 2,529.13 ","$2,450.00",,"Director shall, from time to time, prepare and submit for approval by motion of the city council a schedule of fees
{2008-658, 7-23-2008}",Y,,,1,1,,"$2,590.37",#VALUE!,$61.24,2.42%,,,,,
Flood plain ,PWE,"Development permit - commercial / multi-family residential, redevelopment less than 1 acre, w/o Conveyance",19-16(a)," 1,687.81 ","$1,635.00",,"Director shall, from time to time, prepare and submit for approval by motion of the city council a schedule of fees
{2008-658, 7-23-2008}",y,,,1,1,,"$1,728.67",#VALUE!,$40.86,2.42%,,,,,
Flood plain ,PWE,"Development permit - commercial / multi-family residential, redevelopment less than 1 acre,  w/ Conveyance",19-16(a)," 2,529.13 ","$2,450.00",,"Director shall, from time to time, prepare and submit for approval by motion of the city council a schedule of fees
{2008-658, 7-23-2008}",Y,,,1,1,,"$2,590.37",#VALUE!,$61.24,2.42%,,,,,
Flood plain  ,PWE,"Development permit - commercial / multi-family residential, redevelopment equal or greater than 1 acre, w/o Conveyance",19-16(a)," 2,111.05 ","$2,045.00",,"Director shall, from time to time, prepare and submit for approval by motion of the city council a schedule of fees
{2008-658, 7-23-2008}",y,,,1,1,,"$2,162.16",#VALUE!,$51.11,2.42%,,,,,
Flood plain         ,PWE,"Development permit - commercial / multi-family residential, redevelopment equal or greater than 1 acre, w/ Conveyance",19-16(a)," 2,529.13 ","$2,450.00",,"Director shall, from time to time, prepare and submit for approval by motion of the city council a schedule of fees
{2008-658, 7-23-2008}",Y,,,1,1,,"$2,590.37",#VALUE!,$61.24,2.42%,,,,,
Flood plain ,PWE,"Development permit - commercial / multi-family residential, new, less than 1 acre, w/o Conveyance",19-16(a)," 1,687.81 ","$1,635.00",,"Director shall, from time to time, prepare and submit for approval by motion of the city council a schedule of fees
{2008-658, 7-23-2008}",y,,,1,1,,"$1,728.67",#VALUE!,$40.86,2.42%,,,,,
Flood plain ,PWE,"Development permit - commercial / multi-family residential, new, less than 1 acre, w/ Conveyance",19-16(a)," 2,529.13 ","$2,450.00",,"Director shall, from time to time, prepare and submit for approval by motion of the city council a schedule of fees
{2008-658, 7-23-2008}",Y,,,1,1,,"$2,590.37",#VALUE!,$61.24,2.42%,,,,,
Flood plain  ,PWE,"Development permit - commercial / multi-family residential, new, equal or greater than 1 acre, w/o Conveyance",19-16(a)," 2,111.05 ","$2,045.00",,"Director shall, from time to time, prepare and submit for approval by motion of the city council a schedule of fees
{2008-658, 7-23-2008}",y,,,1,1,,"$2,162.16",#VALUE!,$51.11,2.42%,,,,,
Flood plain ,PWE,"Development permit - commercial / multi-family residential, new, equal or greater than 1 acre,  w/ Conveyance",19-16(a)," 2,529.13 ","$2,450.00",,"Director shall, from time to time, prepare and submit for approval by motion of the city council a schedule of fees
{2008-658, 7-23-2008}",Y,,,1,1,,"$2,590.37",#VALUE!,$61.24,2.42%,,,,,
Flood plain,PWE,"Development permit - commercial / multifamily residential, variance application",19-20," 1,032.30 ","$1,000.00",,"Director shall, from time to time, prepare and submit for approval by motion of the city council a schedule of fees
{2006-894, 8-30-2006}",Y,,,1,1,,"$1,057.29",#VALUE!,$24.99,2.42%,,,,,
Flood plain ,PWE,"Development permit - commercial / multi-family residential, existing structure in floodway",19-43(b)," 2,529.13 ","$2,450.00",,"Director shall, from time to time, prepare and submit for approval by motion of the city council a schedule of fees
{2008-658, 7-23-2008}",Y,,,1,1,,"$2,590.37",#VALUE!,$61.24,2.42%,,,,,
Flood plain ,PWE,"Development permit - commercial / multi-family residential, vacant land in floodway",19-43(c)," 2,529.13 ","$2,450.00",,"Director shall, from time to time, prepare and submit for approval by motion of the city council a schedule of fees
{2008-658, 7-23-2008}",Y,,,1,1,,"$2,590.37",#VALUE!,$61.24,2.42%,,,,,
Flood plain  ,PWE,"Development permit - commercial / multi-family residential, inspection at transfer of title",19-43(c), 103.23 ,$100.00,,"Director shall, from time to time, prepare and submit for approval by motion of the city council a schedule of fees
{2008-658, 7-23-2008}",Y,,,1,1,,$105.72,#VALUE!,$2.49,2.41%,,,,,
Flood plain  ,PWE,"Development permit - Commercial / Multi-Family Residential, Floodway Variance application",19-20," 2,580.75 ","$2,500.00",,"Director shall, from time to time, prepare and submit for approval by motion of the city council a schedule of fees
{2006-984, 8-30-2006}",Y,,,1,1,,"$2,643.24",#VALUE!,$62.49,2.42%,,,,,
Lake Houston,PWE,Pier Construction Base Charge for first 100 square feet,23-15 / 2011-862 (10.12.11), 300.00 ,$300.00,,"By Motion (Ordinance 2011-862, passed 10.12.11)",Y,,,6,1,,$307.26,#VALUE!,$7.26,2.42%,,,,,
Lake Houston,PWE,Pier Construction Base Charge Plus Fee per 100 square feet or part thereof above first 100 sq ft ,23-15 / 2011-862 (10.12.11), 5.00 ,$5.00,,"By Motion (Ordinance 2011-862, passed 10.12.11)",Y,,,6,1,,$5.12,#VALUE!,$0.12,2.40%,,,,,
Lake Houston,PWE,Boat Ramp Construction per location,23-15 / 2011-862 (10.12.11), 300.00 ,$300.00,,"By Motion (Ordinance 2011-862, passed 10.12.11)",Y,,,6,1,,$307.26,#VALUE!,$7.26,2.42%,,,,,
Lake Houston,PWE,Dredging Permit,23-15 / 2011-862 (10.12.11), 500.00 ,$500.00,,"By Motion (Ordinance 2011-862, passed 10.12.11)",Y,,,6,1,,$512.10,#VALUE!,$12.10,2.42%,,,,,
Lake Houston,PWE,Annual Pier Licensing,23-15 / 2011-862 (10.12.11), 35.00 ,$35.00,,"By Motion (Ordinance 2011-862, passed 10.12.11)",Y,,,6,1,,$35.84,#VALUE!,$0.84,2.40%,,,,,
Lake Houston,PWE,Annual Shoreline License,23-15 / 2011-862 (10.12.11), 50.00 ,$50.00,,"By Motion (Ordinance 2011-862, passed 10.12.11)",Y,,,6,1,,$51.21,#VALUE!,$1.21,2.42%,,,,,
Lake Houston,PWE,Annual Vessel Licensing,23-15 / 2011-862 (10.12.11), 50.00 ,$50.00,,"By Motion (Ordinance 2011-862, passed 10.12.11)",Y,,,6,1,,$51.21,#VALUE!,$1.21,2.42%,,,,,
Lake Houston,PWE,"Lake Houston Permit, license or other authorization",23-15, By Motion , By Motion ,,"The public works director and the parks director shall jointly, from time to time, prepare and submit for approval by motion of the city council a schedule of fees ",Y,,,1,1,, By Motion ,#VALUE!, By Motion , By Motion ,,,,,
Lake Houston,PWE,Lake Houston Removal of Deteriorated Structures,23-15 / 2011-862 (10.12.11), 100.00 ,$100.00,,"By Motion (Ordinance 2011-862, passed 10.12.11)",Y,,,6,1,,$102.42,#VALUE!,$2.42,2.42%,,,,,
Lake Houston,PWE,Bulkhead Installation Base Charge for first 100 lineal feet,23-15 / 2011-862 (10.12.11), 15.00 ,$15.00,,"By Motion (Ordinance 2011-862, passed 10.12.11)",Y,,,6,1,,$15.36,#VALUE!,$0.36,2.40%,,,,,
Lake Houston,PWE,Bulkhead Installation Base Charge Plus Fee for each additional 100 lineal feet or part thereof above first 100 lineal feet,23-15 / 2011-862 (10.12.11), 100.00 ,$100.00,,"By Motion (Ordinance 2011-862, passed 10.12.11)",Y,,,6,1,,$102.42,#VALUE!,$2.42,2.42%,,,,,
Lake Houston,PWE,Administrative Fee Lake Houston ,23-15 / 2011-862 (10.12.11), 25.80 ,$25.00 ,,"By Motion (Ordinance 2011-862, passed 10.12.11)",Y,,,5,1,,$26.42,#VALUE!,$0.62,2.40%,,,,,
Manufactured Home & Recreational Vehicles,PWE,Authorization for connection of manufactured homes and/or recreational vehicles to electricity on a sales lot and each annual renewal ,"29-148/
29-160", 154.84 ,$150.00,,,Y,,,1,1,,$158.58,#VALUE!,$3.74,2.42%,,,,,
Manufactured Home & Recreational Vehicles Inspection,PWE,Inspection of placement of manufactured home ,"29-41/
29-160", 61.93 ,$60.00,,,Y,,,3,1,,$63.42,#VALUE!,$1.49,2.41%,,,,,
Manufactured Home & Recreational Vehicles Inspection,PWE,Re-inspection fee for second re-inspection and each subsequent re-inspection of placement ,"29-41/
29-160", 25.80 ,$25.00,,,Y,,,3,1,,$26.42,#VALUE!,$0.62,2.40%,,,,,
Manufactured Home & Recreational Vehicles,PWE,Certification of manufactured home ,"29-42/
29-160", 41.29 ,$40.00,,,Y,,,1,1,,$42.28,#VALUE!,$0.99,2.40%,,,,,
Manufactured Home & Recreational Vehicles Inspection,PWE,Re-inspection fee for second inspection and each subsequent re-inspection for certification ,"29-42/
29-160", 20.64 ,$20.00,,,Y,,,3,1,,$21.13,#VALUE!,$0.49,2.37%,,,,,
Manufactured Home & Recreational Vehicles Inspection,PWE,Inspection fee for recreational vehicle ,"29-61/
29-160", 25.80 ,$25.00,,,Y,,,3,1,,$26.42,#VALUE!,$0.62,2.40%,,,,,
Manufactured Home & Recreational Vehicles- License,PWE,Transfer of license for manufactured home park or recreational vehicle park ,"29-77/
29-160", 77.42 ,$75.00,,,Y,,,2,1,,$79.29,#VALUE!,$1.87,2.42%,,,,,
Manufactured Home & Recreational Vehicles- License,PWE,Original manufactured home park or recreational vehicle park license ,"29-78(a)/
29-160", 309.69 ,$300.00,,,Y,,,2,1,,$317.18,#VALUE!,$7.49,2.42%,,,,,
Manufactured Home & Recreational Vehicles,PWE,Annual fee for each manufactured home lot in a manufactured home park ,"29-78(a)/
29-160", 36.13 ,$35.00,,,Y,,,1,1,,$37.00,#VALUE!,$0.87,2.41%,,,,,
Manufactured Home & Recreational Vehicles,PWE,Annual fee for each lot designed and used exclusively for recreational vehicles in a manufactured home park or a recreational vehicle park ,"29-78(a)/
29-160", 61.93 ,$60.00,,,Y,,,1,1,,$63.42,#VALUE!,$1.49,2.41%,,,,,
Manufactured Home & Recreational Vehicles- License,PWE,Renewal of manufactured home park or recreational vehicle park license ,"29-78(b)/
29-160", 56.77 ,$55.00,,,Y,,,2,1,,$58.14,#VALUE!,$1.37,2.41%,,,,,
Manufactured Home Inspection,PWE,Manufactured home inspection fee (where no state inspection has been made),117.5.1, 72.26 ,$70.00 ,,, Y ,,,3,1,,$74.00,#VALUE!,$1.74,2.41%,,,,,
Mechanical Code - Validity,PWE,Validity - Fee for deceased contractor's permit transfer to new licensed contractor  ,114.3 / 2011-656 (8.3.11), 74.76 ,$74.76,,,Y,,,1,1,,$76.57,#VALUE!,$1.81,2.42%,,,,,
Mechanical Code - Fee Refunds,PWE,Refunds - Base Charge ,115.6.1, 25.80 ,$25.00 ,,, Y ,,,6,1,,$26.42,#VALUE!,$0.62,2.40%,,,,,
Mechanical Code - Fee Refunds,PWE,Refunds - Base Charge plus 10% ,115.6.1, Calculation ,Calculation,,, N ,,,6,6,,Calculation,,,,,,,,
Mechanical Code- License Renewals,PWE,Stationary Engineer's License renewal (If paid within 30 days of expiration),123.3, 70.00 ,$70.00 ,,, Y ,,,2,1,,$71.69,#VALUE!,$1.69,2.41%,,,,,
Mechanical Code - License Renewals,PWE,Stationary Engineer's License renewal (more than 30 days past expiration),123.3, 75.00 ,$75.00 ,,, Y ,,,2,1,,$76.81,#VALUE!,$1.81,2.41%,,,,,
Mechanical Code - License Renewals,PWE,Stationary Engineer's License renewal (each year/part year past expiration),123.3, 70.00 ,$70.00 ,,, Y ,,,2,1,,$71.69,#VALUE!,$1.69,2.41%,,,,,
Mechanical Code - State License Notification Requirement,PWE,Initial State License Notification Requirement,121.6, 70.00 ,$70.00 ,,, Y ,,,2,1,,$71.69,#VALUE!,$1.69,2.41%,,,,,
Mechanical Code- State License Notification Requirement,PWE,Annual State License Notification Requirement / Renewal,121.6 / 2010-1016 (12.15.10), 70.00 ,$70.00 ,,, Y ,,,2,1,,$71.69,#VALUE!,$1.69,2.41%,,,,,
Mechanical Code- Stationary Engineer Examination Application,PWE,Stationary Engineer Exam Fee,123.2 / 2010-1016 (12.15.10), 103.23 ,$100.00 ,,,Y,,,6,1,,$105.72,#VALUE!,$2.49,2.41%,,,,,
Mechanical Code- Stationary Engineer Examination Application,PWE,Stationary Engineer License Fee,123.2 / 2010-1016 (12.15.10), 70.00 ,$70.00 ,,,Y,,,6,1,,$71.69,#VALUE!,$1.69,2.41%,,,,,
"Mechanical Code- Validity, Replacement of License",PWE,Replacement license,123.4 / 2010-1016 (12.15.10), 70.00 ,$70.00 ,,,Y,,,2,1,,$71.69,#VALUE!,$1.69,2.41%,,,,,
Monitoring Wells & Environmental Test Boring Facilities,PWE,Original Application Fee,40-296 / 2012-522 (5.30.12), 350.00 ,$350.00 ,,Ord. 2012-522 approved 5.30.12,N,,7/1/2013,6,1,,$350.00,350.0000,$0.00,0.00%,,,,,
Monitoring Wells & Environmental Test Boring Facilities,PWE,Original Application - Fee for 2nd and each additional facility on the original application ,40-296 / 2012-522 (5.30.12), 75.00 ,$75.00 ,,Ord. 2012-522 approved 5.30.12,N,,7/1/2013,1,1,,$75.00,75.0000,$0.00,0.00%,,,,,
Monitoring Wells & Environmental Test Boring Facilities,PWE,Renewal Application Fee,40-296 / 2012-522 (5.30.12), 75.00 ,$75.00 ,,Ord. 2012-522 approved 5.30.12,N,,7/1/2013,1,1,,$75.00,75.0000,$0.00,0.00%,,,,,
